date,stock,name,industry,amount,open,close,pre_close,pct,net_amount_main,net_pct_main,turnover_ratio
2026-04-15,000547.XSHE,航天发展,军工电子II,67.65,27.18,27.67,27.17,1.84,14305.49,2.11,15.3
2026-04-15,002364.XSHE,中恒电气,电源设备II,66.74,42.41,43.32,42.41,2.15,-30722.18,-4.6,27.79
2026-04-15,600276.XSHG,恒瑞医药,化学制药II,59.45,57.7,57.5,55.95,2.77,15170.25,2.55,1.61
2026-04-15,600118.XSHG,中国卫星,航天装备II,59.16,85.02,86.28,84.39,2.24,17403.82,2.94,5.77
2026-04-15,000657.XSHE,中钨高新,稀有金属II,58.38,50.96,47.18,49.94,-5.53,-41715.52,-7.15,8.26
2026-04-15,600879.XSHG,航天电子,航天装备II,57.58,22.77,23.2,22.51,3.07,3372.05,0.59,7.47
2026-04-15,002361.XSHE,神剑股份,塑料II,54.6,16.85,18.54,16.85,10.03,79793.9,14.61,38.16
2026-04-16,300442.XSHE,润泽科技,通信运营II,72.45,90.26,95.78,90.26,6.12,73544.63,10.15,4.69
2026-04-16,002594.XSHE,比亚迪,乘用车II,67.64,103.28,105.54,103.03,2.44,92265.48,13.64,1.85
2026-04-16,300433.XSHE,蓝思科技,电子制造II,62.8,26.99,25.64,29.59,-13.35,-47660.23,-7.59,4.93
2026-04-16,600875.XSHG,东方电气,电源设备II,62.64,38.87,42.04,38.22,9.99,142571.48,22.76,6.72
2026-04-16,300017.XSHE,网宿科技,IT服务II,61.94,18.17,18.81,17.94,4.85,32323.38,5.22,14.1
2026-04-16,600111.XSHG,北方稀土,稀有金属II,59.46,49.45,49.25,49.26,-0.02,-148685.29,-25.0,3.32
2026-04-16,002466.XSHE,天齐锂业,能源金属II,59.29,62.55,65.32,61.8,5.7,25804.31,4.35,6.22
